map,algo,rows,cols,start,goal,cost,length,nodes,time_s,seed,notes
small.txt,bfs,5,5,"(0, 0)","(3, 2)",5,6,14,2.300000051036477e-05,0,
small.txt,ucs,5,5,"(0, 0)","(3, 2)",5,6,15,2.70830059889704e-05,0,
small.txt,astar,5,5,"(0, 0)","(3, 2)",5,6,9,2.320797648280859e-05,0,
small.txt,replanner,5,5,"(0, 0)","(3, 2)",5,6,6,2.4500011932104826e-05,0,
medium.txt,bfs,10,10,"(0, 0)","(9, 9)",18,19,81,9.56250005401671e-05,0,
medium.txt,ucs,10,10,"(0, 0)","(9, 9)",18,19,81,0.00011529200128279626,0,
medium.txt,astar,10,10,"(0, 0)","(9, 9)",18,19,80,0.00013004100765101612,0,
medium.txt,replanner,10,10,"(0, 0)","(9, 9)",18,19,80,0.00012258399510756135,0,
large.txt,bfs,20,20,"(0, 0)","(16, 13)",29,30,264,0.00033224999788217247,0,
large.txt,ucs,20,20,"(0, 0)","(16, 13)",29,30,266,0.00038387501263059676,0,
large.txt,astar,20,20,"(0, 0)","(16, 13)",29,30,177,0.0002898339880630374,0,
large.txt,replanner,20,20,"(0, 0)","(16, 13)",29,30,177,0.0002541250141803175,0,
dynamic.txt,replanner,8,8,"(0, 0)","(4, 3)",10,10,58,5.324999801814556e-05,0,dynamic
